dateUpdated,country,province,count_by_provinces,population
2019-05-19T23:58:05Z,US,AK,64,"731545	"
2019-05-19T23:45:05Z,US,AL,635,"4903185	"
2019-05-19T23:45:04Z,US,AR,124,3017825
2019-05-19T23:26:58Z,US,AZ,186,7278717
2019-05-19T23:24:38Z,US,CA,727,39512223
2019-05-19T23:24:21Z,US,CO,154,5758736
2019-05-19T23:24:21Z,US,CT,1,3565287
2019-05-19T22:58:35Z,US,DC,18,705749
2019-05-19T22:53:58Z,US,DE,25,973764
2019-05-19T22:51:18Z,US,FL,739,21477737
2019-05-19T22:36:02Z,US,GA,238,10617423
2019-05-19T22:35:35Z,US,HI,91,1415872
2019-05-19T22:24:59Z,US,IA,107,3155070
2019-05-19T22:24:37Z,US,ID,65,1787065
2019-05-19T22:08:00Z,US,IL,305,12671821
2019-05-19T22:07:44Z,US,IN,519,6732219
2019-05-19T22:00:11Z,US,KS,92,2913314
2019-05-19T21:43:52Z,US,KY,142,4467673
2019-05-19T21:43:51Z,US,LA,161,4648794
2019-05-19T21:43:50Z,US,MA,2,6949503
2019-05-19T21:43:30Z,US,MD,114,6045680
2019-05-19T21:43:10Z,US,MI,210,9986857
2019-05-19T21:43:02Z,US,MN,83,5639632
2019-05-19T21:42:32Z,US,MO,244,6137428
2019-05-19T17:57:13Z,US,MS,99,2976149
2019-05-19T17:54:31Z,US,MT,33,1068778
2019-05-19T17:04:06Z,US,NC,663,10488084
2019-05-19T16:29:46Z,US,ND,18,762062
2019-05-19T11:18:04Z,US,NE,74,1934408
2019-05-19T11:14:11Z,US,NJ,2,8882190
2019-05-19T11:12:02Z,US,NM,69,2096829
2019-05-19T11:00:04Z,US,NV,96,3080156
2019-05-19T10:35:30Z,US,NY,173,19453561
2019-05-19T08:45:44Z,US,OH,922,11689100
2019-05-19T08:40:14Z,US,OK,147,3956971
2019-05-19T08:36:09Z,US,OR,334,4217737
2019-05-19T08:35:42Z,US,PA,194,12801989
2019-05-19T08:21:06Z,US,SC,322,5148714
2019-05-19T08:05:05Z,US,SD,27,884659
2019-05-19T08:03:56Z,US,TN,243,6833174
2019-05-19T07:58:38Z,US,TX,426,28995881
2019-05-19T07:55:20Z,US,UT,74,3205958
2019-05-19T07:46:32Z,US,VA,348,8535519
2019-05-19T07:46:27Z,US,WA,404,7614893
2019-05-19T07:45:55Z,US,WI,112,5822434
2019-05-19T07:45:51Z,US,WV,154,1792147
2019-05-19T07:41:13Z,US,WY,20,578759
